tf,anchor_shift,bar_time,currency,S
M30,34,2025.09.26 06:30,CHF,50.7893197841
M30,34,2025.09.26 06:30,CAD,43.3434490152
M30,34,2025.09.26 06:30,AUD,65.6594648241
M30,34,2025.09.26 06:30,NZD,38.6659488009
M30,35,2025.09.26 06:00,USD,27.4867891345
M30,35,2025.09.26 06:00,EUR,55.6138993946
M30,35,2025.09.26 06:00,GBP,62.3011155644
M30,35,2025.09.26 06:00,JPY,48.3596011077
M30,35,2025.09.26 06:00,CHF,58.0485645820
M30,35,2025.09.26 06:00,CAD,37.1222820528
M30,35,2025.09.26 06:00,AUD,53.8111401512
M30,35,2025.09.26 06:00,NZD,57.2566080128
M30,36,2025.09.26 05:30,USD,28.2762982804
M30,36,2025.09.26 05:30,EUR,73.2145471688
M30,36,2025.09.26 05:30,GBP,57.0103423732
M30,36,2025.09.26 05:30,JPY,46.9797940973
M30,36,2025.09.26 05:30,CHF,47.5228706377
M30,36,2025.09.26 05:30,CAD,33.4157501232
M30,36,2025.09.26 05:30,AUD,60.7801849465
M30,36,2025.09.26 05:30,NZD,52.8002123730
M30,37,2025.09.26 05:00,USD,26.7233506397
M30,37,2025.09.26 05:00,EUR,62.4908342650
M30,37,2025.09.26 05:00,GBP,63.7118169889
M30,37,2025.09.26 05:00,JPY,49.4300080519
M30,37,2025.09.26 05:00,CHF,50.5177743327
M30,37,2025.09.26 05:00,CAD,30.1854297886
M30,37,2025.09.26 05:00,AUD,65.1355000674
M30,37,2025.09.26 05:00,NZD,51.8052858659
M30,38,2025.09.26 04:30,USD,62.2304342763
M30,38,2025.09.26 04:30,EUR,61.9634444188
M30,38,2025.09.26 04:30,GBP,63.6270254672
M30,38,2025.09.26 04:30,JPY,37.7647577852
M30,38,2025.09.26 04:30,CHF,48.9243929348
M30,38,2025.09.26 04:30,CAD,45.7493749196
M30,38,2025.09.26 04:30,AUD,42.8630404136
M30,38,2025.09.26 04:30,NZD,36.8775297843
M30,39,2025.09.26 04:00,USD,42.9266446144
M30,39,2025.09.26 04:00,EUR,68.8236596597
M30,39,2025.09.26 04:00,GBP,61.8647812022
M30,39,2025.09.26 04:00,JPY,46.8546642296
M30,39,2025.09.26 04:00,CHF,63.0247018887
M30,39,2025.09.26 04:00,CAD,37.7959544131
M30,39,2025.09.26 04:00,AUD,30.2917298065
M30,39,2025.09.26 04:00,NZD,48.4178641857
M30,40,2025.09.26 03:30,USD,35.1094612608
M30,40,2025.09.26 03:30,EUR,63.1256656675
M30,40,2025.09.26 03:30,GBP,61.6234215919
M30,40,2025.09.26 03:30,JPY,65.9215425335
M30,40,2025.09.26 03:30,CHF,52.9516778196
M30,40,2025.09.26 03:30,CAD,36.2104500218
M30,40,2025.09.26 03:30,AUD,39.1755139821
M30,40,2025.09.26 03:30,NZD,45.8822671227
M30,41,2025.09.26 03:00,USD,54.6082084998
M30,41,2025.09.26 03:00,EUR,65.7984804724
M30,41,2025.09.26 03:00,GBP,50.1662261985
M30,41,2025.09.26 03:00,JPY,62.1893220606
M30,41,2025.09.26 03:00,CHF,54.4716563655
M30,41,2025.09.26 03:00,CAD,55.3853405163
M30,41,2025.09.26 03:00,AUD,35.3411395401
M30,41,2025.09.26 03:00,NZD,22.0396263467
M30,42,2025.09.26 02:30,USD,56.5112170895
M30,42,2025.09.26 02:30,EUR,54.0414472520
M30,42,2025.09.26 02:30,GBP,47.4001137457
M30,42,2025.09.26 02:30,JPY,35.6607604673
M30,42,2025.09.26 02:30,CHF,56.7432062603
M30,42,2025.09.26 02:30,CAD,51.1283115680
M30,42,2025.09.26 02:30,AUD,63.7456935976
M30,42,2025.09.26 02:30,NZD,34.7692500196
M30,43,2025.09.26 02:00,USD,69.8310604116
M30,43,2025.09.26 02:00,EUR,62.2591799111
M30,43,2025.09.26 02:00,GBP,51.0232717999
M30,43,2025.09.26 02:00,JPY,33.1166209921
M30,43,2025.09.26 02:00,CHF,45.8733977874
M30,43,2025.09.26 02:00,CAD,53.6494874532
M30,43,2025.09.26 02:00,AUD,45.9201094507
M30,43,2025.09.26 02:00,NZD,38.3268721940
M30,44,2025.09.26 01:30,USD,52.2765840740
M30,44,2025.09.26 01:30,EUR,58.8288727902
M30,44,2025.09.26 01:30,GBP,52.4992919929
M30,44,2025.09.26 01:30,JPY,53.0042124714
M30,44,2025.09.26 01:30,CHF,58.9446361224
M30,44,2025.09.26 01:30,CAD,36.4415643952
M30,44,2025.09.26 01:30,AUD,46.4840190917
M30,44,2025.09.26 01:30,NZD,41.5208190623
M30,45,2025.09.26 01:00,USD,45.6554824089
M30,45,2025.09.26 01:00,EUR,57.9696643249
M30,45,2025.09.26 01:00,GBP,53.9704299429
M30,45,2025.09.26 01:00,JPY,46.7516949882
M30,45,2025.09.26 01:00,CHF,57.5985974835
M30,45,2025.09.26 01:00,CAD,38.4959726810
M30,45,2025.09.26 01:00,AUD,49.4665730976
M30,45,2025.09.26 01:00,NZD,50.0915850729
M30,46,2025.09.26 00:30,USD,56.8073352329
M30,46,2025.09.26 00:30,EUR,42.4685082246
M30,46,2025.09.26 00:30,GBP,39.0147716021
M30,46,2025.09.26 00:30,JPY,62.8632359410
M30,46,2025.09.26 00:30,CHF,58.7595317243
M30,46,2025.09.26 00:30,CAD,49.7571019604
M30,46,2025.09.26 00:30,AUD,39.9701770552
M30,46,2025.09.26 00:30,NZD,50.3593382595
M30,47,2025.09.26 00:00,USD,56.1726209195
M30,47,2025.09.26 00:00,EUR,27.6300243519
M30,47,2025.09.26 00:00,GBP,47.8012991871
M30,47,2025.09.26 00:00,JPY,48.9593497319
M30,47,2025.09.26 00:00,CHF,55.0250151094
M30,47,2025.09.26 00:00,CAD,59.9711315985
M30,47,2025.09.26 00:00,AUD,58.7630093613
M30,47,2025.09.26 00:00,NZD,45.6775497404
M30,48,2025.09.25 23:30,USD,50.0071971074
M30,48,2025.09.25 23:30,EUR,33.2999391530
M30,48,2025.09.25 23:30,GBP,37.3957286041
M30,48,2025.09.25 23:30,JPY,61.1450798462
M30,48,2025.09.25 23:30,CHF,73.6154500719
M30,48,2025.09.25 23:30,CAD,50.2377820593
M30,48,2025.09.25 23:30,AUD,48.6514628852
M30,48,2025.09.25 23:30,NZD,45.6473602730
M30,49,2025.09.25 23:00,USD,44.9063707275
M30,49,2025.09.25 23:00,EUR,40.6350880132
M30,49,2025.09.25 23:00,GBP,44.0429388728
M30,49,2025.09.25 23:00,JPY,42.9778724650
M30,49,2025.09.25 23:00,CHF,73.0424535360
M30,49,2025.09.25 23:00,CAD,57.7695678067
M30,49,2025.09.25 23:00,AUD,46.1825363314
M30,49,2025.09.25 23:00,NZD,50.4431722474
M30,50,2025.09.25 22:30,USD,59.9317039956
M30,50,2025.09.25 22:30,EUR,54.0955990878
M30,50,2025.09.25 22:30,GBP,41.0269267873
M30,50,2025.09.25 22:30,JPY,54.5322734345
M30,50,2025.09.25 22:30,CHF,57.6599898065
M30,50,2025.09.25 22:30,CAD,48.5283644401
M30,50,2025.09.25 22:30,AUD,52.4443906798
M30,50,2025.09.25 22:30,NZD,31.7807517684
M30,51,2025.09.25 22:00,USD,50.3526404404
M30,51,2025.09.25 22:00,EUR,50.3829990685
M30,51,2025.09.25 22:00,GBP,45.7494068665
M30,51,2025.09.25 22:00,JPY,56.3216842631
M30,51,2025.09.25 22:00,CHF,73.0939727745
M30,51,2025.09.25 22:00,CAD,43.1938803366
M30,51,2025.09.25 22:00,AUD,39.5589693758
M30,51,2025.09.25 22:00,NZD,41.3464468745
M30,52,2025.09.25 21:30,USD,57.3374235749
M30,52,2025.09.25 21:30,EUR,39.5474533469
M30,52,2025.09.25 21:30,GBP,53.4775903961
M30,52,2025.09.25 21:30,JPY,41.7378200037
M30,52,2025.09.25 21:30,CHF,59.1012787114
M30,52,2025.09.25 21:30,CAD,58.5157742467
M30,52,2025.09.25 21:30,AUD,49.6440125948
M30,52,2025.09.25 21:30,NZD,40.6386471254
M30,53,2025.09.25 21:00,USD,72.3740022066
M30,53,2025.09.25 21:00,EUR,37.8323208994
M30,53,2025.09.25 21:00,GBP,50.0973391930
M30,53,2025.09.25 21:00,JPY,51.9656722790
M30,53,2025.09.25 21:00,CHF,68.6680543711
M30,53,2025.09.25 21:00,CAD,51.4819324181
M30,53,2025.09.25 21:00,AUD,37.6243292991
M30,53,2025.09.25 21:00,NZD,29.9563493338
M30,54,2025.09.25 20:30,USD,63.5981507169
M30,54,2025.09.25 20:30,EUR,42.1809602209
M30,54,2025.09.25 20:30,GBP,48.9440656877
M30,54,2025.09.25 20:30,JPY,57.0500236062
M30,54,2025.09.25 20:30,CHF,73.0581871483
M30,54,2025.09.25 20:30,CAD,53.9522281466
M30,54,2025.09.25 20:30,AUD,28.4825282260
M30,54,2025.09.25 20:30,NZD,32.7338562475
M30,55,2025.09.25 20:00,USD,79.0974908939
M30,55,2025.09.25 20:00,EUR,35.2430946683
M30,55,2025.09.25 20:00,GBP,41.8619831803
M30,55,2025.09.25 20:00,JPY,55.6723018757
M30,55,2025.09.25 20:00,CHF,59.4722399855
M30,55,2025.09.25 20:00,CAD,62.3728460575
M30,55,2025.09.25 20:00,AUD,33.7172365166
M30,55,2025.09.25 20:00,NZD,32.5628068221
M30,56,2025.09.25 19:30,USD,77.8921992358
M30,56,2025.09.25 19:30,EUR,56.4866227886
M30,56,2025.09.25 19:30,GBP,32.2187825167
M30,56,2025.09.25 19:30,JPY,50.5423156389
M30,56,2025.09.25 19:30,CHF,46.4711342184
M30,56,2025.09.25 19:30,CAD,58.7822757778
M30,56,2025.09.25 19:30,AUD,39.7081808397
M30,56,2025.09.25 19:30,NZD,37.8984889840
M30,57,2025.09.25 19:00,USD,60.6896927754
M30,57,2025.09.25 19:00,EUR,63.8493793364
M30,57,2025.09.25 19:00,GBP,43.6741655494
M30,57,2025.09.25 19:00,JPY,41.9096869622
M30,57,2025.09.25 19:00,CHF,59.2301661943
M30,57,2025.09.25 19:00,CAD,48.0458734313
M30,57,2025.09.25 19:00,AUD,40.1041407443
M30,57,2025.09.25 19:00,NZD,42.4968950066
M30,58,2025.09.25 18:30,USD,66.5576902152
M30,58,2025.09.25 18:30,EUR,45.8873019748
M30,58,2025.09.25 18:30,GBP,42.4484255495
M30,58,2025.09.25 18:30,JPY,31.2495799833
M30,58,2025.09.25 18:30,CHF,40.7622177470
M30,58,2025.09.25 18:30,CAD,67.0367641515
M30,58,2025.09.25 18:30,AUD,57.9424951703
M30,58,2025.09.25 18:30,NZD,48.1155252084
M30,59,2025.09.25 18:00,USD,77.5606562797
M30,59,2025.09.25 18:00,EUR,56.9951910904
M30,59,2025.09.25 18:00,GBP,36.6090569616
M30,59,2025.09.25 18:00,JPY,32.1497415647
M30,59,2025.09.25 18:00,CHF,56.1769771969
M30,59,2025.09.25 18:00,CAD,56.3051959506
M30,59,2025.09.25 18:00,AUD,51.9255298887
M30,59,2025.09.25 18:00,NZD,32.2776510675
M30,60,2025.09.25 17:30,USD,78.0277709247
M30,60,2025.09.25 17:30,EUR,49.0085467223
M30,60,2025.09.25 17:30,GBP,26.5826128195
M30,60,2025.09.25 17:30,JPY,37.6118969528
M30,60,2025.09.25 17:30,CHF,46.7025152636
M30,60,2025.09.25 17:30,CAD,65.2142200689
M30,60,2025.09.25 17:30,AUD,47.5092330912
M30,60,2025.09.25 17:30,NZD,49.3432041571
M30,61,2025.09.25 17:00,USD,76.1904761905
M30,61,2025.09.25 17:00,EUR,45.8487852603
M30,61,2025.09.25 17:00,GBP,43.2492717801
M30,61,2025.09.25 17:00,JPY,50.2800077111
M30,61,2025.09.25 17:00,CHF,39.4046254603
M30,61,2025.09.25 17:00,CAD,70.3763567927
M30,61,2025.09.25 17:00,AUD,47.9838101384
M30,61,2025.09.25 17:00,NZD,26.6666666667
M30,62,2025.09.25 16:30,USD,80.0000000000
M30,62,2025.09.25 16:30,EUR,46.4930196269
M30,62,2025.09.25 16:30,GBP,48.1045712311
M30,62,2025.09.25 16:30,JPY,46.3274986621
M30,62,2025.09.25 16:30,CHF,63.1472721589
M30,62,2025.09.25 16:30,CAD,70.2133526067
M30,62,2025.09.25 16:30,AUD,29.5238095238
M30,62,2025.09.25 16:30,NZD,16.1904761905
M30,63,2025.09.25 16:00,USD,77.1428571429
M30,63,2025.09.25 16:00,EUR,53.0968378298
M30,63,2025.09.25 16:00,GBP,40.6256137075
M30,63,2025.09.25 16:00,JPY,63.0577602507
M30,63,2025.09.25 16:00,CHF,53.8996061195
M30,63,2025.09.25 16:00,CAD,62.8571428571
M30,63,2025.09.25 16:00,AUD,25.2895244710
M30,63,2025.09.25 16:00,NZD,24.0306576214
M30,64,2025.09.25 15:30,USD,82.8571428571
M30,64,2025.09.25 15:30,EUR,38.8588220310
M30,64,2025.09.25 15:30,GBP,40.1450881178
M30,64,2025.09.25 15:30,JPY,56.2644588880
M30,64,2025.09.25 15:30,CHF,31.5100716891
M30,64,2025.09.25 15:30,CAD,73.3333333333
M30,64,2025.09.25 15:30,AUD,30.6603510701
M30,64,2025.09.25 15:30,NZD,46.3707320135
M30,65,2025.09.25 15:00,USD,64.4380449620
M30,65,2025.09.25 15:00,EUR,49.2908603030
M30,65,2025.09.25 15:00,GBP,24.9380211293
M30,65,2025.09.25 15:00,JPY,64.7478155999
M30,65,2025.09.25 15:00,CHF,64.5378619588
