tf,shift,bar_time,pair,ifm_light
M30,481,2026.06.26 23:00,GBPAUD,46.6666666667
M30,481,2026.06.26 23:00,GBPCAD,36.6666666667
M30,481,2026.06.26 23:00,GBPCHF,53.3333333333
M30,481,2026.06.26 23:00,GBPJPY,46.6666666667
M30,481,2026.06.26 23:00,GBPNZD,53.3333333333
M30,481,2026.06.26 23:00,GBPUSD,46.6666666667
M30,481,2026.06.26 23:00,NZDCAD,36.6666666667
M30,481,2026.06.26 23:00,NZDCHF,33.3333333333
M30,481,2026.06.26 23:00,NZDJPY,46.6666666667
M30,481,2026.06.26 23:00,NZDUSD,46.6666666667
M30,481,2026.06.26 23:00,USDCAD,46.6666666667
M30,481,2026.06.26 23:00,USDCHF,46.6666666667
M30,481,2026.06.26 23:00,USDJPY,53.3333333333
M30,521,2026.06.26 03:00,AUDCAD,13.3333333333
M30,521,2026.06.26 03:00,AUDCHF,13.3333333333
M30,521,2026.06.26 03:00,AUDJPY,20.0000000000
M30,521,2026.06.26 03:00,AUDNZD,13.3333333333
M30,521,2026.06.26 03:00,AUDUSD,20.0000000000
M30,521,2026.06.26 03:00,CADCHF,73.3333333333
M30,521,2026.06.26 03:00,CADJPY,70.0000000000
M30,521,2026.06.26 03:00,CHFJPY,50.0000000000
M30,521,2026.06.26 03:00,EURAUD,80.0000000000
M30,521,2026.06.26 03:00,EURCAD,23.3333333333
M30,521,2026.06.26 03:00,EURCHF,53.3333333333
M30,521,2026.06.26 03:00,EURGBP,16.6666666667
M30,521,2026.06.26 03:00,EURJPY,40.0000000000
M30,521,2026.06.26 03:00,EURNZD,63.3333333333
M30,521,2026.06.26 03:00,EURUSD,40.0000000000
M30,521,2026.06.26 03:00,GBPAUD,80.0000000000
M30,521,2026.06.26 03:00,GBPCAD,43.3333333333
M30,521,2026.06.26 03:00,GBPCHF,73.3333333333
M30,521,2026.06.26 03:00,GBPJPY,53.3333333333
M30,521,2026.06.26 03:00,GBPNZD,76.6666666667
M30,521,2026.06.26 03:00,GBPUSD,50.0000000000
M30,521,2026.06.26 03:00,NZDCAD,20.0000000000
M30,521,2026.06.26 03:00,NZDCHF,30.0000000000
M30,521,2026.06.26 03:00,NZDJPY,53.3333333333
M30,521,2026.06.26 03:00,NZDUSD,33.3333333333
M30,521,2026.06.26 03:00,USDCAD,43.3333333333
M30,521,2026.06.26 03:00,USDCHF,53.3333333333
M30,521,2026.06.26 03:00,USDJPY,63.3333333333
M30,561,2026.06.25 07:00,AUDCAD,73.3333333333
M30,561,2026.06.25 07:00,AUDCHF,53.3333333333
M30,561,2026.06.25 07:00,AUDJPY,73.3333333333
M30,561,2026.06.25 07:00,AUDNZD,66.6666666667
M30,561,2026.06.25 07:00,AUDUSD,73.3333333333
M30,561,2026.06.25 07:00,CADCHF,23.3333333333
M30,561,2026.06.25 07:00,CADJPY,66.6666666667
M30,561,2026.06.25 07:00,CHFJPY,76.6666666667
M30,561,2026.06.25 07:00,EURAUD,46.6666666667
M30,561,2026.06.25 07:00,EURCAD,63.3333333333
M30,561,2026.06.25 07:00,EURCHF,26.6666666667
M30,561,2026.06.25 07:00,EURGBP,33.3333333333
M30,561,2026.06.25 07:00,EURJPY,76.6666666667
M30,561,2026.06.25 07:00,EURNZD,46.6666666667
M30,561,2026.06.25 07:00,EURUSD,76.6666666667
M30,561,2026.06.25 07:00,GBPAUD,46.6666666667
M30,561,2026.06.25 07:00,GBPCAD,73.3333333333
M30,561,2026.06.25 07:00,GBPCHF,36.6666666667
M30,561,2026.06.25 07:00,GBPJPY,76.6666666667
M30,561,2026.06.25 07:00,GBPNZD,53.3333333333
M30,561,2026.06.25 07:00,GBPUSD,73.3333333333
M30,561,2026.06.25 07:00,NZDCAD,53.3333333333
M30,561,2026.06.25 07:00,NZDCHF,53.3333333333
M30,561,2026.06.25 07:00,NZDJPY,66.6666666667
M30,561,2026.06.25 07:00,NZDUSD,73.3333333333
M30,561,2026.06.25 07:00,USDCAD,20.0000000000
M30,561,2026.06.25 07:00,USDCHF,23.3333333333
M30,561,2026.06.25 07:00,USDJPY,33.3333333333
M30,601,2026.06.24 11:00,AUDCAD,20.0000000000
M30,601,2026.06.24 11:00,AUDCHF,23.3333333333
M30,601,2026.06.24 11:00,AUDJPY,20.0000000000
M30,601,2026.06.24 11:00,AUDNZD,63.3333333333
M30,601,2026.06.24 11:00,AUDUSD,20.0000000000
M30,601,2026.06.24 11:00,CADCHF,50.0000000000
M30,601,2026.06.24 11:00,CADJPY,20.0000000000
M30,601,2026.06.24 11:00,CHFJPY,33.3333333333
M30,601,2026.06.24 11:00,EURAUD,70.0000000000
M30,601,2026.06.24 11:00,EURCAD,33.3333333333
M30,601,2026.06.24 11:00,EURCHF,30.0000000000
M30,601,2026.06.24 11:00,EURGBP,33.3333333333
M30,601,2026.06.24 11:00,EURJPY,26.6666666667
M30,601,2026.06.24 11:00,EURNZD,80.0000000000
M30,601,2026.06.24 11:00,EURUSD,26.6666666667
M30,601,2026.06.24 11:00,GBPAUD,80.0000000000
M30,601,2026.06.24 11:00,GBPCAD,63.3333333333
M30,601,2026.06.24 11:00,GBPCHF,56.6666666667
M30,601,2026.06.24 11:00,GBPJPY,36.6666666667
M30,601,2026.06.24 11:00,GBPNZD,80.0000000000
M30,601,2026.06.24 11:00,GBPUSD,26.6666666667
M30,601,2026.06.24 11:00,NZDCAD,20.0000000000
M30,601,2026.06.24 11:00,NZDCHF,23.3333333333
M30,601,2026.06.24 11:00,NZDJPY,20.0000000000
M30,601,2026.06.24 11:00,NZDUSD,20.0000000000
M30,601,2026.06.24 11:00,USDCAD,80.0000000000
M30,601,2026.06.24 11:00,USDCHF,66.6666666667
M30,601,2026.06.24 11:00,USDJPY,66.6666666667
M30,641,2026.06.23 15:00,AUDCAD,20.0000000000
M30,641,2026.06.23 15:00,AUDCHF,20.0000000000
M30,641,2026.06.23 15:00,AUDJPY,20.0000000000
M30,641,2026.06.23 15:00,AUDNZD,50.0000000000
M30,641,2026.06.23 15:00,AUDUSD,20.0000000000
M30,641,2026.06.23 15:00,CADCHF,36.6666666667
M30,641,2026.06.23 15:00,CADJPY,30.0000000000
M30,641,2026.06.23 15:00,CHFJPY,30.0000000000
M30,641,2026.06.23 15:00,EURAUD,63.3333333333
M30,641,2026.06.23 15:00,EURCAD,20.0000000000
M30,641,2026.06.23 15:00,EURCHF,13.3333333333
M30,641,2026.06.23 15:00,EURGBP,20.0000000000
M30,641,2026.06.23 15:00,EURJPY,20.0000000000
M30,641,2026.06.23 15:00,EURNZD,63.3333333333
M30,641,2026.06.23 15:00,EURUSD,20.0000000000
M30,641,2026.06.23 15:00,GBPAUD,73.3333333333
M30,641,2026.06.23 15:00,GBPCAD,56.6666666667
M30,641,2026.06.23 15:00,GBPCHF,40.0000000000
M30,641,2026.06.23 15:00,GBPJPY,30.0000000000
M30,641,2026.06.23 15:00,GBPNZD,73.3333333333
M30,641,2026.06.23 15:00,GBPUSD,40.0000000000
M30,641,2026.06.23 15:00,NZDCAD,20.0000000000
