tf,anchor_shift,bar_time,currency,vel,acel,zvel,zS,cesta
M30,14,2025.09.30 17:00,NZD,4.9604031431,19.4504672317,0.1721696884,-0.4250607190,0.7142857143
M30,15,2025.09.30 16:30,USD,-21.7125699508,-35.6398744791,-0.5323806990,-1.0176716748,0.8571428571
M30,15,2025.09.30 16:30,EUR,-34.1928079191,-45.9495207366,-1.6075575941,-1.5649533475,1.0000000000
M30,15,2025.09.30 16:30,GBP,9.2197920523,18.7833429287,0.3595667400,0.4263744698,0.5714285714
M30,15,2025.09.30 16:30,JPY,6.3404026273,21.5362721020,0.1874057763,0.5021440160,0.7142857143
M30,15,2025.09.30 16:30,CHF,13.0801953253,38.1491028087,0.5432120014,-0.5555791803,0.5714285714
M30,15,2025.09.30 16:30,CAD,4.1316842336,-9.2934410704,0.1918066245,-0.4124433623,0.5714285714
M30,15,2025.09.30 16:30,AUD,7.6083263526,-9.9362134022,0.2436101897,1.5980866423,0.8571428571
M30,15,2025.09.30 16:30,NZD,15.5249772788,22.3503318489,0.5570370091,1.0240424368,0.8571428571
M30,16,2025.09.30 16:00,USD,21.7865118587,-5.3838861458,0.5710615629,1.2375924195,0.8571428571
M30,16,2025.09.30 16:00,EUR,-19.1125536899,-18.9387401498,-0.8868012171,-1.0541759105,0.8571428571
M30,16,2025.09.30 16:00,GBP,-11.4791816043,-6.0479668037,-0.4787750868,-1.0168550844,0.8571428571
M30,16,2025.09.30 16:00,JPY,-1.3917264259,-6.5851068889,-0.0413074240,1.1975899544,1.0000000000
M30,16,2025.09.30 16:00,CHF,7.5171763149,47.5833957432,0.3158668539,-1.0099610767,0.7142857143
M30,16,2025.09.30 16:00,CAD,7.3849013046,-14.6154671814,0.3101862194,0.1145059354,0.5714285714
M30,16,2025.09.30 16:00,AUD,7.7922726387,9.7008189922,0.2497105929,1.1915534315,0.7142857143
M30,16,2025.09.30 16:00,NZD,-12.4974003967,-5.7130475658,-0.4804379025,-0.6602496691,0.7142857143
M30,17,2025.09.30 15:30,USD,2.9099676772,-16.6174927757,0.0787906583,-0.3185281030,0.5714285714
M30,17,2025.09.30 15:30,EUR,-20.3295874884,-22.7731381310,-0.9276381465,-1.7272388947,1.0000000000
M30,17,2025.09.30 15:30,GBP,-7.3073126518,-19.0458079878,-0.3204658328,0.1271148741,0.4285714286
M30,17,2025.09.30 15:30,JPY,12.3414740102,37.8080430505,0.3501214172,1.5386807736,1.0000000000
M30,17,2025.09.30 15:30,CHF,15.1004953065,44.3088574353,0.6534996474,-0.1318822501,0.5714285714
M30,17,2025.09.30 15:30,CAD,14.2091466458,16.2729431136,0.5846990464,-0.0513361255,0.5714285714
M30,17,2025.09.30 15:30,AUD,-11.5467320960,-40.6041798088,-0.3676194641,1.3662305792,0.8571428571
M30,17,2025.09.30 15:30,NZD,-5.3774514035,0.6507751038,-0.2029014111,-0.8030408536,0.5714285714
M30,18,2025.09.30 15:00,USD,-16.8468276437,-41.5678651749,-0.4534166507,-1.3764841921,0.8571428571
M30,18,2025.09.30 15:00,EUR,-16.0539395019,-20.9406601994,-0.7383595530,-0.8459603426,0.8571428571
M30,18,2025.09.30 15:00,GBP,16.4711025285,27.2288621958,0.7506037713,1.2158009424,0.8571428571
M30,18,2025.09.30 15:00,JPY,-22.7115672991,-29.2307263675,-0.6484154243,0.0330832684,0.4285714286
M30,18,2025.09.30 15:00,CHF,27.9848223488,50.8765304147,1.1535099327,0.3801522063,0.5714285714
M30,18,2025.09.30 15:00,CAD,-13.5282802644,-26.1382967800,-0.5814606844,-1.3170807876,0.8571428571
M30,18,2025.09.30 15:00,AUD,6.4758221114,-5.2992318192,0.2058926188,1.2763164880,1.0000000000
M30,18,2025.09.30 15:00,NZD,18.2088677204,45.0713877305,0.6797471908,0.6341724172,0.7142857143
M30,19,2025.09.30 14:30,USD,12.3352284914,29.0606658079,0.3322406740,-0.9761094068,0.8571428571
