tf,bar_time,currency,S,vel3,vel6,vel12,acel6,pers12,efic12
H4,2026.06.26 16:00,JPY,44.2857142857,-10.0000000000,1.9047619048,-8.0952380952,11.9047619048,0.5833333333,0.0742358079
H4,2026.06.26 16:00,CHF,54.7619047619,-23.3333333333,-9.5238095238,5.7142857143,-24.7619047619,0.5000000000,0.0495867769
H4,2026.06.26 16:00,CAD,59.0476190476,-2.3809523810,-15.2380952381,1.9047619048,-32.3809523810,0.5000000000,0.0215053763
H4,2026.06.26 16:00,AUD,44.2857142857,23.8095238095,2.8571428571,3.3333333333,2.3809523810,0.5833333333,0.0424242424
H4,2026.06.26 16:00,NZD,27.1428571429,-4.7619047619,-6.6666666667,-23.3333333333,10.0000000000,0.5833333333,0.3288590604
D1,2026.06.25 00:00,USD,66.6666666667,-10.9523809524,-13.3333333333,-3.3333333333,-23.3333333333,0.4166666667,0.0313901345
D1,2026.06.25 00:00,EUR,46.6666666667,1.9047619048,-4.7619047619,-9.5238095238,-0.0000000000,0.3636363636,0.1587301587
D1,2026.06.25 00:00,GBP,56.1904761905,-8.0952380952,12.3809523810,-17.1428571429,41.9047619048,0.3333333333,0.1855670103
D1,2026.06.25 00:00,JPY,55.2380952381,-4.7619047619,-9.0476190476,0.0000000000,-18.0952380952,0.6363636364,0.0000000000
D1,2026.06.25 00:00,CHF,53.8095238095,20.9523809524,3.3333333333,20.9523809524,-14.2857142857,0.5833333333,0.1803278689
D1,2026.06.25 00:00,CAD,55.2380952381,8.0952380952,21.4285714286,10.4761904762,32.3809523810,0.6666666667,0.1047619048
D1,2026.06.25 00:00,AUD,44.2857142857,-8.0952380952,-0.9523809524,22.3809523810,-24.2857142857,0.5000000000,0.1918367347
D1,2026.06.25 00:00,NZD,21.9047619048,0.9523809524,-9.0476190476,-23.8095238095,5.7142857143,0.6666666667,0.2604166667
M30,2026.06.19 22:30,USD,53.8095238095,17.1428571429,-4.2857142857,-5.7142857143,-2.8571428571,0.4166666667,0.0500000000
M30,2026.06.19 22:30,EUR,65.2380952381,-4.2857142857,-10.0000000000,-6.6666666667,-13.3333333333,0.5454545455,0.0804597701
M30,2026.06.19 22:30,GBP,60.4761904762,0.9523809524,-9.5238095238,6.1904761905,-25.2380952381,0.3333333333,0.0534979424
M30,2026.06.19 22:30,JPY,40.4761904762,-4.7619047619,0.9523809524,-13.3333333333,15.2380952381,0.3636363636,0.1794871795
M30,2026.06.19 22:30,CHF,53.8095238095,-11.4285714286,10.4761904762,10.4761904762,10.4761904762,0.4166666667,0.0964912281
M30,2026.06.19 22:30,CAD,41.4285714286,8.0952380952,7.6190476190,2.3809523810,12.8571428571,0.5000000000,0.0279329609
M30,2026.06.19 22:30,AUD,38.5714285714,5.2380952381,0.9523809524,-6.6666666667,8.5714285714,0.5454545455,0.0804597701
M30,2026.06.19 22:30,NZD,46.1904761905,-10.9523809524,3.8095238095,13.3333333333,-5.7142857143,0.4000000000,0.1573033708
H1,2026.06.19 22:00,USD,54.2857142857,-0.4761904762,-9.5238095238,-11.9047619048,-7.1428571429,0.5000000000,0.0877192982
H1,2026.06.19 22:00,EUR,65.2380952381,-3.8095238095,-4.7619047619,4.2857142857,-13.8095238095,0.5000000000,0.0708661417
H1,2026.06.19 22:00,GBP,59.5238095238,-14.2857142857,-4.7619047619,7.1428571429,-16.6666666667,0.5000000000,0.0570342205
H1,2026.06.19 22:00,JPY,38.5714285714,-0.4761904762,-20.4761904762,-23.3333333333,-17.6190476190,0.5000000000,0.1731448763
H1,2026.06.19 22:00,CHF,58.5714285714,12.8571428571,22.3809523810,33.3333333333,11.4285714286,0.7500000000,0.3465346535
H1,2026.06.19 22:00,CAD,34.2857142857,0.4761904762,1.9047619048,-17.1428571429,20.9523809524,0.5000000000,0.2068965517
H1,2026.06.19 22:00,AUD,46.1904761905,2.8571428571,1.9047619048,-12.8571428571,16.6666666667,0.3333333333,0.1221719457
H1,2026.06.19 22:00,NZD,43.3333333333,2.8571428571,13.3333333333,20.4761904762,6.1904761905,0.6666666667,0.1686274510
H4,2026.06.19 16:00,USD,73.8095238095,-9.0476190476,-4.2857142857,14.2857142857,-22.8571428571,0.6363636364,0.1063829787
H4,2026.06.19 16:00,EUR,64.7619047619,20.0000000000,15.7142857143,20.4761904762,10.9523809524,0.5000000000,0.3049645390
H4,2026.06.19 16:00,GBP,57.6190476190,23.8095238095,26.6666666667,25.2380952381,28.0952380952,0.5833333333,0.3291925466
H4,2026.06.19 16:00,JPY,61.4285714286,-9.0476190476,13.3333333333,-1.4285714286,28.0952380952,0.5833333333,0.0127659574
H4,2026.06.19 16:00,CHF,25.2380952381,4.7619047619,-9.0476190476,-35.2380952381,17.1428571429,0.5000000000,0.3936170213
H4,2026.06.19 16:00,CAD,32.8571428571,-28.5714285714,-16.6666666667,8.5714285714,-41.9047619048,0.5833333333,0.0555555556
H4,2026.06.19 16:00,AUD,52.8571428571,-4.2857142857,-20.0000000000,-19.5238095238,-20.4761904762,0.5454545455,0.1759656652
H4,2026.06.19 16:00,NZD,31.4285714286,2.3809523810,-5.7142857143,-12.3809523810,0.9523809524,0.4166666667,0.0828025478
D1,2026.06.18 00:00,USD,79.5238095238,30.0000000000,2.3809523810,15.7142857143,-10.9523809524,0.5000000000,0.1182795699
D1,2026.06.18 00:00,EUR,53.3333333333,-10.4761904762,-1.4285714286,3.8095238095,-6.6666666667,0.3636363636,0.0666666667
D1,2026.06.18 00:00,GBP,32.3809523810,-30.0000000000,-31.9047619048,-31.9047619048,-31.9047619048,0.7500000000,0.3872832370
D1,2026.06.18 00:00,JPY,64.2857142857,22.3809523810,12.3809523810,39.0476190476,-14.2857142857,0.5454545455,0.3628318584
D1,2026.06.18 00:00,CHF,31.9047619048,-20.4761904762,-1.9047619048,-5.7142857143,1.9047619048,0.5000000000,0.0458015267
D1,2026.06.18 00:00,CAD,39.5238095238,11.9047619048,-23.3333333333,3.3333333333,-50.0000000000,0.4166666667,0.0281124498
D1,2026.06.18 00:00,AUD,58.5714285714,2.3809523810,39.0476190476,-7.1428571429,85.2380952381,0.4166666667,0.0549450549
D1,2026.06.18 00:00,NZD,40.4761904762,-5.7142857143,4.7619047619,-17.1428571429,26.6666666667,0.5000000000,0.1666666667
M30,2026.06.12 22:30,USD,56.6666666667,10.9523809524,10.4761904762,-7.1428571429,28.0952380952,0.3333333333,0.0561797753
M30,2026.06.12 22:30,EUR,38.0952380952,-17.1428571429,-9.5238095238,-19.0476190476,0.0000000000,0.5000000000,0.3030303030
M30,2026.06.12 22:30,GBP,40.0000000000,-19.5238095238,-19.0476190476,-7.1428571429,-30.9523809524,0.5833333333,0.0717703349
M30,2026.06.12 22:30,JPY,58.5714285714,23.3333333333,22.3809523810,13.3333333333,31.4285714286,0.6666666667,0.1250000000
M30,2026.06.12 22:30,CHF,38.0952380952,0.9523809524,9.0476190476,16.6666666667,1.4285714286,0.5833333333,0.1310861423
M30,2026.06.12 22:30,CAD,37.1428571429,3.8095238095,-10.9523809524,-30.4761904762,8.5714285714,0.6666666667,0.3404255319
M30,2026.06.12 22:30,AUD,72.8571428571,5.7142857143,8.5714285714,19.5238095238,-2.3809523810,0.5000000000,0.1673469388
M30,2026.06.12 22:30,NZD,58.5714285714,-8.0952380952,-10.9523809524,14.2857142857,-36.1904761905,0.4166666667,0.1500000000
H1,2026.06.12 22:00,USD,50.0000000000,1.4285714286,-9.0476190476,-0.9523809524,-17.1428571429,0.4545454545,0.0080000000
H1,2026.06.12 22:00,EUR,39.5238095238,-7.1428571429,-28.5714285714,-14.2857142857,-42.8571428571,0.2500000000,0.1428571429
H1,2026.06.12 22:00,GBP,43.3333333333,-20.9523809524,-6.6666666667,-4.2857142857,-9.0476190476,0.5000000000,0.0361445783
H1,2026.06.12 22:00,JPY,53.8095238095,16.6666666667,17.1428571429,8.0952380952,26.1904761905,0.5000000000,0.0909090909
H1,2026.06.12 22:00,CHF,35.2380952381,10.0000000000,13.8095238095,-15.2380952381,42.8571428571,0.5833333333,0.1632653061
H1,2026.06.12 22:00,CAD,36.1904761905,-8.5714285714,-20.0000000000,3.3333333333,-43.3333333333,0.5833333333,0.0440251572
H1,2026.06.12 22:00,AUD,75.2380952381,13.8095238095,19.0476190476,25.2380952381,12.8571428571,0.4166666667,0.2314410480
H1,2026.06.12 22:00,NZD,66.6666666667,-5.2380952381,14.2857142857,-1.9047619048,30.4761904762,0.3333333333,0.0219780220
H4,2026.06.12 16:00,USD,32.8571428571,-8.5714285714,-44.7619047619,-16.6666666667,-72.8571428571,0.5000000000,0.0969529086
H4,2026.06.12 16:00,EUR,53.3333333333,-5.2380952381,8.5714285714,-4.7619047619,21.9047619048,0.5833333333,0.0549450549
H4,2026.06.12 16:00,GBP,59.0476190476,-5.2380952381,14.2857142857,-2.3809523810,30.9523809524,0.4545454545,0.0226244344
H4,2026.06.12 16:00,JPY,31.9047619048,-7.1428571429,-41.9047619048,-4.2857142857,-79.5238095238,0.6666666667,0.0275229358
H4,2026.06.12 16:00,CHF,41.9047619048,-17.6190476190,-0.9523809524,7.6190476190,-9.5238095238,0.6666666667,0.0625000000
H4,2026.06.12 16:00,CAD,37.6190476190,9.0476190476,0.0000000000,-20.4761904762,20.4761904762,nan,0.1981566820
H4,2026.06.12 16:00,AUD,74.7619047619,18.0952380952,28.5714285714,37.1428571429,20.0000000000,0.5833333333,0.3451327434
H4,2026.06.12 16:00,NZD,68.5714285714,16.6666666667,36.1904761905,3.8095238095,68.5714285714,0.6666666667,0.0275862069
D1,2026.06.11 00:00,USD,56.1904761905,-20.9523809524,-20.9523809524,-15.7142857143,-26.1904761905,0.6666666667,0.1157894737
D1,2026.06.11 00:00,EUR,56.6666666667,3.3333333333,0.0000000000,4.7619047619,-4.7619047619,nan,0.0877192982
D1,2026.06.11 00:00,GBP,61.4285714286,9.0476190476,-1.9047619048,13.8095238095,-17.6190476190,0.7500000000,0.1676300578
D1,2026.06.11 00:00,JPY,56.1904761905,-11.9047619048,12.3809523810,16.1904761905,8.5714285714,0.4545454545,0.1574074074
D1,2026.06.11 00:00,CHF,48.5714285714,18.5714285714,16.1904761905,-6.6666666667,39.0476190476,0.5000000000,0.0542635659
D1,2026.06.11 00:00,CAD,26.1904761905,-23.8095238095,-11.9047619048,-19.0476190476,-4.7619047619,0.5833333333,0.1438848921
D1,2026.06.11 00:00,AUD,44.7619047619,15.7142857143,-1.4285714286,-18.5714285714,15.7142857143,0.5833333333,0.1157270030
D1,2026.06.11 00:00,NZD,50.0000000000,10.0000000000,7.6190476190,25.2380952381,-10.0000000000,0.5833333333,0.1693290735
M30,2026.06.05 22:30,USD,52.3809523810,-15.2380952381,-6.1904761905,-25.2380952381,12.8571428571,0.4545454545,0.2960893855
M30,2026.06.05 22:30,EUR,56.1904761905,3.8095238095,13.3333333333,10.4761904762,16.1904761905,0.5000000000,0.1833333333
M30,2026.06.05 22:30,GBP,44.7619047619,-1.9047619048,-1.4285714286,-11.4285714286,8.5714285714,0.5833333333,0.1967213115
M30,2026.06.05 22:30,JPY,50.0000000000,-27.6190476190,-5.7142857143,-18.0952380952,6.6666666667,0.4166666667,0.1610169492
M30,2026.06.05 22:30,CHF,59.0476190476,10.0000000000,6.1904761905,21.9047619048,-9.5238095238,0.7500000000,0.2804878049
M30,2026.06.05 22:30,CAD,58.5714285714,8.0952380952,6.6666666667,-10.0000000000,23.3333333333,0.3636363636,0.1257485030
M30,2026.06.05 22:30,AUD,44.7619047619,19.5238095238,-1.4285714286,19.0476190476,-21.9047619048,0.3333333333,0.1739130435
M30,2026.06.05 22:30,NZD,34.2857142857,3.3333333333,-11.4285714286,13.3333333333,-36.1904761905,0.5000000000,0.1333333333
H1,2026.06.05 22:00,USD,66.1904761905,-11.9047619048,-11.4285714286,36.6666666667,-59.5238095238,0.4166666667,0.4350282486
H1,2026.06.05 22:00,EUR,49.5238095238,8.0952380952,6.6666666667,-11.4285714286,24.7619047619,0.4166666667,0.1212121212
H1,2026.06.05 22:00,GBP,46.1904761905,4.7619047619,-9.0476190476,-11.9047619048,-6.1904761905,0.6666666667,0.1479289941
H1,2026.06.05 22:00,JPY,67.6190476190,-2.3809523810,-3.3333333333,36.1904761905,-42.8571428571,0.4166666667,0.4222222222
H1,2026.06.05 22:00,CHF,52.3809523810,2.8571428571,10.4761904762,-16.1904761905,37.1428571429,0.5000000000,0.1259259259
H1,2026.06.05 22:00,CAD,64.2857142857,1.9047619048,-5.2380952381,12.8571428571,-23.3333333333,0.5833333333,0.1330049261
H1,2026.06.05 22:00,AUD,29.0476190476,0.9523809524,10.0000000000,-18.0952380952,38.0952380952,0.5000000000,0.1266666667
H1,2026.06.05 22:00,NZD,24.7619047619,-4.2857142857,1.9047619048,-28.0952380952,31.9047619048,0.4166666667,0.3491124260
H4,2026.06.05 16:00,USD,83.8095238095,23.3333333333,20.4761904762,2.8571428571,38.0952380952,0.5000000000,0.0177514793
H4,2026.06.05 16:00,EUR,38.0952380952,-25.7142857143,-20.0000000000,-26.1904761905,-13.8095238095,0.5833333333,0.2879581152
H4,2026.06.05 16:00,GBP,50.0000000000,-2.8571428571,10.4761904762,-11.4285714286,32.3809523810,0.5833333333,0.1463414634
H4,2026.06.05 16:00,JPY,76.6666666667,21.9047619048,31.4285714286,7.1428571429,55.7142857143,0.5000000000,0.0574712644
H4,2026.06.05 16:00,CHF,47.1428571429,-3.8095238095,-10.9523809524,15.2380952381,-37.1428571429,0.5000000000,0.1045751634
H4,2026.06.05 16:00,CAD,64.2857142857,15.7142857143,15.7142857143,19.0476190476,12.3809523810,0.5000000000,0.1785714286
H4,2026.06.05 16:00,AUD,21.4285714286,-7.6190476190,-26.1904761905,-9.0476190476,-43.3333333333,0.4545454545,0.1194968553
H4,2026.06.05 16:00,NZD,18.5714285714,-20.9523809524,-20.9523809524,2.3809523810,-44.2857142857,0.5000000000,0.0191570881
D1,2026.06.04 00:00,USD,67.1428571429,-0.9523809524,-2.8571428571,-9.5238095238,3.8095238095,0.5833333333,0.0588235294
D1,2026.06.04 00:00,EUR,63.8095238095,14.2857142857,6.6666666667,15.7142857143,-2.3809523810,0.5833333333,0.2408759124
D1,2026.06.04 00:00,GBP,60.4761904762,-4.2857142857,14.2857142857,10.9523809524,17.6190476190,0.3333333333,0.1314285714
D1,2026.06.04 00:00,JPY,40.0000000000,6.1904761905,8.0952380952,-20.0000000000,36.1904761905,0.3636363636,0.2441860465
D1,2026.06.04 00:00,CHF,51.9047619048,11.9047619048,1.9047619048,4.7619047619,-0.9523809524,0.5000000000,0.0357142857
D1,2026.06.04 00:00,CAD,29.0476190476,-7.6190476190,-8.5714285714,-30.4761904762,13.3333333333,0.6666666667,0.3047619048
D1,2026.06.04 00:00,AUD,44.2857142857,-4.2857142857,9.0476190476,17.6190476190,0.4761904762,0.5000000000,0.1138461538
D1,2026.06.04 00:00,NZD,43.3333333333,-15.2380952381,-28.5714285714,10.9523809524,-68.0952380952,0.4166666667,0.0603674541
M30,2026.05.29 22:30,USD,41.9047619048,4.7619047619,7.6190476190,1.9047619048,13.3333333333,0.6666666667,0.0132450331
M30,2026.05.29 22:30,EUR,32.8571428571,-13.8095238095,-20.4761904762,-7.1428571429,-33.8095238095,0.5000000000,0.1006711409
M30,2026.05.29 22:30,GBP,61.4285714286,4.2857142857,10.9523809524,10.9523809524,10.9523809524,0.5000000000,0.1256830601
M30,2026.05.29 22:30,JPY,34.7619047619,4.7619047619,-19.0476190476,5.7142857143,-43.8095238095,0.4166666667,0.0576923077
M30,2026.05.29 22:30,CHF,60.4761904762,1.4285714286,7.6190476190,-4.2857142857,19.5238095238,0.5000000000,0.0313588850
M30,2026.05.29 22:30,CAD,46.6666666667,-7.1428571429,16.6666666667,19.0476190476,14.2857142857,0.5000000000,0.1250000000
M30,2026.05.29 22:30,AUD,54.2857142857,-1.9047619048,-5.7142857143,-26.6666666667,15.2380952381,0.5833333333,0.2592592593
M30,2026.05.29 22:30,NZD,67.6190476190,7.6190476190,2.3809523810,0.4761904762,4.2857142857,0.4166666667,0.0046948357
H1,2026.05.29 22:00,USD,27.1428571429,-14.2857142857,-8.5714285714,-25.7142857143,8.5714285714,0.5000000000,0.2093023256
