tf,anchor_shift,bar_time,pair,ifm_light
M30,10,2025.09.26 18:30,CADCHF,30.0000000000
M30,10,2025.09.26 18:30,CADJPY,36.6666666667
M30,10,2025.09.26 18:30,CHFJPY,44.4538830821
M30,10,2025.09.26 18:30,EURAUD,32.5533676355
M30,10,2025.09.26 18:30,EURCAD,63.3333333333
M30,10,2025.09.26 18:30,EURCHF,46.5349245194
M30,10,2025.09.26 18:30,EURGBP,23.7653262500
M30,10,2025.09.26 18:30,EURJPY,31.8241393875
M30,10,2025.09.26 18:30,EURNZD,64.4635565386
M30,10,2025.09.26 18:30,EURUSD,59.4402372480
M30,10,2025.09.26 18:30,GBPAUD,60.2183437125
M30,10,2025.09.26 18:30,GBPCAD,60.0000000000
M30,10,2025.09.26 18:30,GBPCHF,63.3333333333
M30,10,2025.09.26 18:30,GBPJPY,59.8279941957
M30,10,2025.09.26 18:30,GBPNZD,72.0487537407
M30,10,2025.09.26 18:30,GBPUSD,62.7523199708
M30,10,2025.09.26 18:30,NZDCAD,56.6666666667
M30,10,2025.09.26 18:30,NZDCHF,32.8581213110
M30,10,2025.09.26 18:30,NZDJPY,28.4337562835
M30,10,2025.09.26 18:30,NZDUSD,50.2900697141
M30,10,2025.09.26 18:30,USDCAD,52.9577597031
M30,10,2025.09.26 18:30,USDCHF,42.5300294699
M30,10,2025.09.26 18:30,USDJPY,36.6666666667
M30,11,2025.09.26 18:00,AUDCAD,86.6666666667
M30,11,2025.09.26 18:00,AUDCHF,67.5227454430
M30,11,2025.09.26 18:00,AUDJPY,53.3634611688
M30,11,2025.09.26 18:00,AUDNZD,56.3077985811
M30,11,2025.09.26 18:00,AUDUSD,71.0251183425
M30,11,2025.09.26 18:00,CADCHF,20.0000000000
M30,11,2025.09.26 18:00,CADJPY,20.0000000000
M30,11,2025.09.26 18:00,CHFJPY,24.3584031825
M30,11,2025.09.26 18:00,EURAUD,34.2557035021
M30,11,2025.09.26 18:00,EURCAD,80.0000000000
M30,11,2025.09.26 18:00,EURCHF,62.9732566409
