tf,metrica,limiar,split,n_eventos,deteccao_pct,lat_mediana_min,lat_ic95,consumido_mediano_pct,captura_mediana_pct,precisao_pct,falsos_por_semana
H1,zvel,2.5,validacao,39,0.0,,—,,,0.0,0.0
H1,zvel,3.0,treino,284,0.0,,—,,,0.0,0.0
H1,zvel,3.0,validacao,39,0.0,,—,,,0.0,0.0
H1,zs,1.0,treino,284,83.1,60.0,"[60,90]",15.7,84.3,2.0,21.3
H1,zs,1.0,validacao,39,76.9,75.0,"[30,120]",15.2,84.8,1.4,20.75
H1,zs,1.5,treino,284,68.0,150.0,"[90,180]",26.7,73.3,4.2,10.58
H1,zs,1.5,validacao,39,53.8,90.0,"[30,210]",26.4,73.6,2.9,10.36
H1,zs,2.0,treino,284,22.2,180.0,"[90,240]",29.8,70.2,5.9,1.98
H1,zs,2.0,validacao,39,23.1,90.0,"[30,420]",28.3,71.7,4.6,1.94
H1,zs,2.5,treino,284,0.7,300.0,—,25.5,74.5,11.4,0.02
H1,zs,2.5,validacao,39,0.0,,—,,,20.0,0.01
H1,zs,3.0,treino,284,0.0,,—,,,0.0,0.0
H1,zs,3.0,validacao,39,0.0,,—,,,0.0,0.0
H1,zmov,1.0,treino,284,22.9,90.0,"[90,150]",12.2,87.8,0.9,10.16
H1,zmov,1.0,validacao,39,20.5,120.0,"[30,240]",14.7,85.3,0.6,9.62
H1,zmov,1.5,treino,284,15.5,150.0,"[90,210]",21.1,78.9,1.1,5.35
H1,zmov,1.5,validacao,39,20.5,120.0,"[30,240]",19.5,80.5,1.3,5.09
H1,zmov,2.0,treino,284,5.6,150.0,"[30,360]",28.6,71.4,1.2,1.81
H1,zmov,2.0,validacao,39,10.3,270.0,—,30.4,69.6,1.4,1.5
H1,zmov,2.5,treino,284,0.4,210.0,—,47.7,52.3,0.5,0.11
H1,zmov,2.5,validacao,39,5.1,180.0,—,36.6,63.4,9.7,0.09
H1,zmov,3.0,treino,284,0.0,,—,,,0.0,0.0
H1,zmov,3.0,validacao,39,0.0,,—,,,0.0,0.0
H1,zhist,1.0,treino,284,22.2,90.0,"[90,150]",13.7,86.3,1.0,9.17
H1,zhist,1.0,validacao,39,33.3,210.0,"[90,450]",28.1,71.9,0.7,8.48
H1,zhist,1.5,treino,284,17.3,150.0,"[90,180]",14.8,85.2,1.2,5.28
H1,zhist,1.5,validacao,39,17.9,210.0,"[30,450]",33.0,67.0,0.8,4.93
H1,zhist,2.0,treino,284,10.6,225.0,"[120,330]",19.7,80.3,1.4,2.9
H1,zhist,2.0,validacao,39,7.7,90.0,—,10.9,89.1,1.0,2.78
H1,zhist,2.5,treino,284,6.3,285.0,"[112,458]",11.9,88.1,1.3,1.56
H1,zhist,2.5,validacao,39,5.1,270.0,—,30.1,69.9,0.4,1.54
H1,zhist,3.0,treino,284,3.5,360.0,"[82,420]",9.7,90.3,1.2,0.89
H1,zhist,3.0,validacao,39,2.6,30.0,—,18.2,81.8,0.7,0.88
H1,vel,18.12,treino,284,76.1,90.0,"[90,120]",19.2,80.8,1.7,18.5
H1,vel,18.12,validacao,39,71.8,135.0,"[90,180]",24.2,75.8,1.3,18.31
H1,vel,25.91,treino,284,54.6,150.0,"[90,150]",24.1,75.9,2.4,8.59
H1,vel,25.91,validacao,39,51.3,105.0,"[90,150]",27.4,72.6,1.9,8.38
H1,vel,30.8,treino,284,39.4,150.0,"[90,210]",28.8,71.2,3.2,4.57
H1,vel,30.8,validacao,39,35.9,90.0,"[75,150]",25.2,74.8,2.6,4.46
H1,acel,30.06,treino,284,67.6,120.0,"[90,150]",19.5,80.5,1.3,19.33
H1,acel,30.06,validacao,39,64.1,150.0,"[60,210]",23.9,76.1,1.0,18.98
H1,acel,42.77,treino,284,39.1,150.0,"[90,150]",23.8,76.2,1.6,8.93
H1,acel,42.77,validacao,39,33.3,150.0,"[60,150]",24.1,75.9,1.0,8.73
H1,acel,50.79,treino,284,25.0,150.0,"[90,180]",32.0,68.0,1.9,4.77
H1,acel,50.79,validacao,39,20.5,165.0,"[67,210]",27.1,72.9,1.0,4.53
H1,cesta,5.0,treino,284,74.3,30.0,"[30,60]",10.8,89.2,0.9,31.77
H1,cesta,5.0,validacao,39,74.4,30.0,"[30,30]",8.6,91.4,0.7,31.33
H1,cesta,6.0,treino,284,81.3,60.0,"[30,60]",12.7,87.3,1.4,25.55
H1,cesta,6.0,validacao,39,76.9,30.0,"[30,75]",11.1,88.9,1.0,25.07
H1,cesta,7.0,treino,284,75.7,90.0,"[60,90]",20.0,80.0,2.8,15.06
H1,cesta,7.0,validacao,39,71.8,135.0,"[90,210]",20.9,79.1,1.9,14.55
H1,mtf,2.0,treino,284,62.0,30.0,"[30,30]",9.8,90.2,0.6,31.99
H1,mtf,2.0,validacao,39,64.1,30.0,"[30,30]",8.6,91.4,0.5,31.33
H1,mtf,3.0,treino,284,65.5,60.0,"[30,90]",14.1,85.9,1.0,23.11
H1,mtf,3.0,validacao,39,66.7,60.0,"[30,195]",14.6,85.4,0.7,21.87
H1,mtf,4.0,treino,284,31.7,30.0,"[30,90]",11.3,88.7,1.0,12.67
H1,mtf,4.0,validacao,39,23.1,30.0,"[30,150]",10.9,89.1,0.7,8.92
H1,candidata,0.5,treino,284,0.0,,—,,,3.3,0.03
H1,candidata,0.5,validacao,39,0.0,,—,,,0.0,0.03
